ticker,revenue_n,revenue_aci_weighted,revenue_aci_unweighted,op_profit_n,op_profit_aci_weighted,op_profit_aci_unweighted,net_profit_n,net_profit_aci_weighted,net_profit_aci_unweighted,aci_weighted,aci_unweighted
1301,14,6.800332547867142,1.8174653221604535,14,7.048172210305658,1.8837032581389275,14,6.446498383030107,1.7228991638350621,6.765001047067636,1.8080225813781476
130A,0,,,0,,,0,,,,
1332,14,7.335584894068894,1.960517528942873,14,6.589234687687509,1.7610470458837895,14,7.113174809011866,1.9010759333966836,7.012664796922756,1.8742135027411155
1333,14,7.294048958930703,1.949416583333846,14,6.5646117165858175,1.7544662800475777,14,7.070997749043909,1.8898036399694325,6.97655280818681,1.8645621677836186
135A,0,,,0,,,0,,,,
1375,14,7.031306758826383,1.8791957766311627,14,4.091762061564111,1.0935694101837663,14,4.551438256487632,1.2164230409166041,5.224835692292708,1.396396075910511
1376,11,4.499659303134013,1.3566983266297792,11,5.158872008238029,1.5554584357084358,11,5.147350038326369,1.5519844310681867,4.935293783232804,1.4880470644688006
1377,11,6.522862528166591,1.9667170513634196,11,4.976033407101052,1.5003305232389084,11,6.043648059926146,1.822228452703125,5.847514665064597,1.7630920091018176
1379,2,2.8149484941450207,1.9904691689008045,2,2.804803196052145,1.983295359822173,2,2.6886655452555384,1.9011736393928174,2.7694724118175684,1.958312722705265
1380,14,7.425803913753547,1.9846295761879145,14,4.6749535791026195,1.2494338994338994,14,3.5400902365548705,0.946128913103703,5.213615909803679,1.3933974629085055
1381,11,6.416096476199405,1.9345258754795338,11,4.550527682796105,1.3720357201781885,11,4.6837222416684705,1.4121953907142377,5.21678213355466,1.57291899545732
1382,11,5.213316560408682,1.5718740858383435,11,3.735446382147586,1.1262794612794613,11,3.4284243535364585,1.0337088366179277,4.125729098697575,1.2439541279119108
1384,14,7.357457035181005,1.9663631045397794,14,3.5473181873596356,0.9480606642122663,14,3.7048000948925646,0.9901494743982545,4.8698584391444015,1.3015244143834335
138A,0,,,0,,,0,,,,
1401,11,5.191440676043867,1.5652782585296805,11,4.802433905035368,1.447988303953054,11,4.883524264880643,1.4724379673822974,4.959132948653293,1.495234843288344
1407,12,5.469225149283152,1.5788293060986496,12,5.530161801020196,1.5964202022405978,12,5.475496164873269,1.5806395923681729,5.491627705058872,1.5852963669024733
1414,11,5.6228165088391435,1.6953429658941368,11,6.520196550858027,1.9659132289605006,11,6.462914189781586,1.9486419472517538,6.201975749826253,1.869966047368797
1417,14,6.020749213241851,1.6091129119742693,14,6.800414749745713,1.8174872915366078,14,5.874797245459214,1.5701056078051194,6.231987069482259,1.6655686037719988
1418,14,7.282487088365719,1.9463265434478176,14,5.404976815904622,1.4445408163265303,14,5.725499405312453,1.5302040816326534,6.137654436527598,1.640357147135667
1419,3,3.3512370394377107,1.934837606837607,3,2.9382766499718067,1.6964148148148146,3,2.5698304597221924,1.4836923076923076,2.9531147163772364,1.704981576448243
141A,0,,,0,,,0,,,,
1420,14,6.4061678824799655,1.7121203841710815,14,4.8353509222087325,1.2923018925518925,14,3.8666847410857343,1.0334149659863945,5.036067848591478,1.3459457475697896
1429,12,6.854587730799834,1.9787490357805952,12,6.537087852069805,1.8870947155543671,12,6.275350043921721,1.8115375185586677,6.555675208930452,1.8924604232978766
142A,0,,,0,,,0,,,,
1430,11,6.414702417377236,1.9341055509296412,11,6.383068611881655,1.9245675997005571,11,6.386419333257176,1.9255778802077956,6.394730120838688,1.9280836769459981
1431,11,4.619238525572679,1.3927528187708247,11,4.873043366381869,1.469277857583549,11,4.85030313743763,1.4624214205785655,4.78086167646406,1.4414840323109797
1433,14,7.0934908399287435,1.8958151713737623,14,4.35829053226385,1.1648021402679978,14,3.795316284499832,1.0143409436458732,5.082365885564141,1.3583194184292111
1434,12,6.745888426047781,1.9473702493509337,12,6.171031495739783,1.7814233476215113,12,4.596056719765232,1.3267672921836227,5.837658880517599,1.6851869630520226
1435,13,6.839777895314764,1.8970130703340422,13,6.050825895522058,1.6781971557853916,13,5.137167665487669,1.4247939560439562,6.009257152108163,1.66666806072113
1436,3,3.3162102975416765,1.914614907975096,3,3.100645874247905,1.7901587301587305,3,2.2451577377141305,1.2962424242424244,2.8873379698345705,1.6670053541254168
1438,12,6.761655917485438,1.9519219320639218,12,5.46423644685474,1.5773891917536744,12,6.310345027771528,1.8216397002316542,6.17874579737057,1.7836502746830833
143A,0,,,0,,,0,,,,
1443,14,7.037846248240784,1.8809435286935288,14,6.149809113490611,1.6436056211958463,14,6.884779928965613,1.8400348341090826,6.690811763565669,1.7881946613328192
1444,12,6.636536482705318,1.9158030623883437,12,6.110485210668527,1.7639451406293507,12,4.9116048234403795,1.4178581834831838,5.8862088389380745,1.699202128833626
1450,14,6.632161721293731,1.7725197781970048,14,5.974948282907687,1.596872098452416,14,5.955543296564346,1.591685897703001,6.187551100255255,1.6536925914508072
145A,0,,,0,,,0,,,,
146A,0,,,0,,,0,,,,
147A,0,,,0,,,0,,,,
148A,0,,,0,,,0,,,,
1491,14,6.670809298694058,1.7828487777299227,14,3.887987968742332,1.0391084930666399,14,2.736134402114618,0.7312626783484616,4.431643889850336,1.1844066497150079
149A,0,,,0,,,0,,,,
150A,0,,,0,,,0,,,,
1514,14,6.553603331915029,1.751524165489013,14,2.006586818886828,0.5362828852207947,14,2.544912452393326,0.6801564625850339,3.7017008677317276,0.9893211710982807
1515,14,7.273265085361467,1.943861859471981,14,4.544144947741705,1.214473822163517,14,5.753606526672268,1.537716025793861,5.8570055199251465,1.5653505691431195
1518,14,6.336921102739306,1.6936134038191568,14,4.349653491770118,1.1624937940991948,14,4.455444225799477,1.1907675570587084,5.047339606769634,1.3489582516590202
151A,0,,,0,,,0,,,,
153A,0,,,0,,,0,,,,
155A,0,,,0,,,0,,,,
156A,0,,,0,,,0,,,,
157A,0,,,0,,,0,,,,
